canonical,cell_name,count,logic_expr,n_inputs,tt_weight,anf_degree,is_affine,is_symmetric,is_monotone,is_anti_monotone,output_inv_count,input_inv_count,fet_count,n_nmos,n_pmos,nfin_n_total,nfin_p_total,nfin_ratio,max_stack_n,max_stack_p,n_internal_nets,total_transistors,cpp_min,cell_fraction,cpp_min_ds
0b01111110,3input0x20_X1,0,[UNCLASSIFIED_FALLBACK] ,3,0.750000,2,0,1,0,0,0,0,18,9,9,18,18,1.000000,2,2,8,18,9,0.000000,9
0b01111110,3input0x20_X1_DH_N,0,[UNCLASSIFIED_FALLBACK] ,3,0.750000,2,0,1,0,0,0,0,18,9,9,18,18,1.000000,2,2,8,18,9,0.000000,9
0b01111111,OR3_X1,0,,3,0.875000,3,0,1,1,0,1,0,8,4,4,8,8,1.000000,1,1,3,8,4,0.000000,4
0b01111111,OR3_X2,0,,3,0.875000,3,0,1,1,0,1,0,8,4,4,8,8,1.000000,1,1,3,8,4,0.000000,4
0b10000000,NOR3_X1,0,,3,0.125000,3,0,1,0,1,0,3,6,3,3,6,6,1.000000,1,3,2,6,3,0.000000,3
0b10000000,NOR3_X2,0,,3,0.125000,3,0,1,0,1,0,3,6,3,3,6,6,1.000000,1,3,2,6,3,0.000000,3
0b10000001,3input0x23_X1,0,[UNCLASSIFIED_FALLBACK] ,3,0.250000,2,0,1,0,0,1,0,18,9,9,18,18,1.000000,2,2,8,18,9,0.000000,9
0b10000001,3input0x23_X1_DH_N,0,[UNCLASSIFIED_FALLBACK] ,3,0.250000,2,0,1,0,0,1,0,18,9,9,18,18,1.000000,2,2,8,18,9,0.000000,9
0b10000010,3input0x24_X1,0,[UNCLASSIFIED_FALLBACK] ,3,0.250000,2,0,0,0,0,1,1,14,7,7,14,14,1.000000,1,2,6,14,14,0.000000,14
0b10000011,3input0x25_X1,0,[UNCLASSIFIED_FALLBACK] ,3,0.375000,3,0,0,0,0,1,1,14,7,7,14,14,1.000000,1,1,6,14,7,0.000000,7
0b10000110,3input0x26_X1,0,[UNCLASSIFIED_FALLBACK] ,3,0.375000,3,0,0,0,0,1,0,20,10,10,20,20,1.000000,2,3,9,20,11,0.000000,11
0b10000110,3input0x26_X1_DH_N,0,[UNCLASSIFIED_FALLBACK] ,3,0.375000,3,0,0,0,0,1,0,20,10,10,20,20,1.000000,2,3,9,20,11,0.000000,11
0b10000111,3input0x27_X1,0,[UNCLASSIFIED_FALLBACK] ,3,0.500000,2,0,0,0,0,1,0,14,7,7,14,14,1.000000,2,2,6,14,14,0.000000,14
0b10000111,3input0x27_X1_DH_N,0,[UNCLASSIFIED_FALLBACK] ,3,0.500000,2,0,0,0,0,1,0,14,7,7,14,14,1.000000,2,2,6,14,14,0.000000,14
0b10001001,3input0x28_X1,0,[UNCLASSIFIED_FALLBACK] ,3,0.375000,3,0,0,0,0,0,0,12,6,6,12,12,1.000000,2,2,5,12,6,0.000000,6
