name,cell_class,canonical_key
4input0xAFF8_X1,logic,0b1010111111111000
4input0xAFFB_X1,logic,0b1010111111111011
4input0xAFFC_X1,logic,0b1010111111111100
4input0xAFFD_X1,logic,0b1010111111111101
4input0xAFFE_X1,logic,0b1010111111111110
4input0xBBB_X2_DH_N,logic,0b1010100011111100
4input0xBCFC_X1,logic,0b1011110011111100
4input0xBEEE_X1,logic,0b1011111011101110
4input0xBEFE_X1,logic,0b1011111011111110
4input0xBEFF_X1,logic,0b1011111011111111
4input0xBFFC_X1,logic,0b1011111111111100
4input0xBFFF_X1,logic,0b1111111101111111
4input0xE880_X1,logic,0b1110100010000000
4input0xE888_X1,logic,0b1111100010000000
4input0xE8A8_X1,logic,0b1110100010101000
4input0xE8AA_X1,logic,0b1111110110000000
4input0xE8AC_X1,logic,0b1110100010101100
4input0xEAA8_X1,logic,0b1111111010000000
4input0xEAAA_X1,logic,0b1111111110000000
4input0xEAAB_X1,logic,0b1110101010101011
4input0xEAAE_X1,logic,0b1110101010101110
4input0xEAAF_X1,logic,0b1110101010101111
4input0xEABF_X1,logic,0b1110101010111111
4input0xEAC0_X1,logic,0b1110101011000000
4input0xEAC0_X2,logic,0b1110101011000000
4input0xEAC2_X1,logic,0b1110101011000010
4input0xEAC8_X1,logic,0b1111101011000000
4input0xEACA_X1,logic,0b1110101011001010
4input0xEACE_X1,logic,0b1110101011001110
4input0xEAD8_X1,logic,0b1110101011011000
4input0xEADA_X1,logic,0b1110101011011010
4input0xEADD_X1,logic,0b1110101011011101
4input0xEAE8_X1,logic,0b1111111011000000
4input0xEAEB_X1,logic,0b1110101011101011
4input0xEAEF_X1,logic,0b1110101011101111
4input0xEAFF_X1,logic,0b1111111111010101
4input0xEBEF_X1,logic,0b1110101111101111
4input0xEBFF_X1,logic,0b1110101111111111
4input0xEEE2_X1,logic,0b1110111011100010
4input0xEEE3_X1,logic,0b1110111011100011
4input0xEEE6_X1,logic,0b1110111011100110
4input0xEEE8_X1,logic,0b1111111011100000
4input0xEEEA_X1,logic,0b1111111111100000
4input0xEEEA_X2,logic,0b1111111111100000
4input0xEEEB_X1,logic,0b1110111011101011
4input0xEEEF_X1,logic,0b1110111011101111
4input0xEEEF_X2,logic,0b1110111011101111
4input0xEEE_X1,logic,0b0000111011101110
4input0xEEF3_X1,logic,0b1110111011110011
4input0xEEF7_X1,logic,0b1110111011110111
4input0xEEF8_X1,logic,0b1110111011111000
4input0xEEFA_X1,logic,0b1110111011111010
4input0xEEFB_X1,logic,0b1110111011111011
4input0xEFF8_X1,logic,0b1110111111111000
4input0xEFFA_X1,logic,0b1110111111111010
4input0xEFFB_X1,logic,0b1110111111111011
4input0xEFFE_X1,logic,0b1110111111111110
4input0xE_X1,logic,0b0000000000001110
4input0xFEE8_X1,logic,0b1111111011101000
4input0xFEEA_X1,logic,0b1111111111101000
4input0xFEEE_X1,logic,0b1111111011101110
4input0xFEEF_X1,logic,0b1111111011101111
