target_name,target_key,base_name,base_key,status,base_count,inv_count,total,reason,elapsed_s
3input0xB_X1,0b00011001,OAI22_X1,0b1111100010001000,OK,3,1,4,,0.70
3input0xB_X1,0b00011001,OAI211_X1,0b1111111011101110,OK,4,1,5,,1.05
3input0xC_X1,0b00011010,AND3_X1,0b00000001,OK,4,5,9,,10.57
3input0xC_X1,0b00011010,OR3_X1,0b01111111,OK,3,6,9,,18.36
3input0xC_X1,0b00011010,AOI21_X1,0b10101000,OK,2,0,2,,0.08
3input0xC_X1,0b00011010,OAI21_X1,0b11101010,OK,4,0,4,,0.40
3input0xC_X1,0b00011010,NAND3_X1,0b11111110,OK,6,0,6,,1.09
3input0xC_X1,0b00011010,AOI211_X1,0b1000100010000000,OK,3,1,4,,0.49
3input0xC_X1,0b00011010,AOI22_X1,0b1110111011100000,OK,2,1,3,,0.34
3input0xC_X1,0b00011010,OAI22_X1,0b1111100010001000,OK,3,1,4,,0.66
3input0xC_X1,0b00011010,OAI211_X1,0b1111111011101110,OK,3,1,4,,0.67
3input0xD_X1,0b00011011,AND3_X1,0b00000001,OK,4,5,9,,13.31
3input0xD_X1,0b00011011,OR3_X1,0b01111111,OK,4,5,9,,20.79
3input0xD_X1,0b00011011,AOI21_X1,0b10101000,OK,3,0,3,,0.20
3input0xD_X1,0b00011011,OAI21_X1,0b11101010,OK,3,0,3,,0.21
3input0xD_X1,0b00011011,NAND3_X1,0b11111110,OK,5,0,5,,0.81
3input0xD_X1,0b00011011,AOI211_X1,0b1000100010000000,OK,3,1,4,,0.81
3input0xD_X1,0b00011011,AOI22_X1,0b1110111011100000,OK,1,2,3,,0.38
3input0xD_X1,0b00011011,OAI22_X1,0b1111100010001000,OK,1,2,3,,0.34
3input0xD_X1,0b00011011,OAI211_X1,0b1111111011101110,OK,3,1,4,,0.86
3input0xE_X1,0b00011110,AND3_X1,0b00000001,OK,4,5,9,,10.29
3input0xE_X1,0b00011110,OR3_X1,0b01111111,TIMEOUT,,,,,53.00
3input0xE_X1,0b00011110,AOI21_X1,0b10101000,OK,4,0,4,,0.36
3input0xE_X1,0b00011110,OAI21_X1,0b11101010,OK,4,0,4,,0.43
3input0xE_X1,0b00011110,NAND3_X1,0b11111110,OK,5,0,5,,0.77
3input0xE_X1,0b00011110,AOI211_X1,0b1000100010000000,OK,4,1,5,,0.80
3input0xE_X1,0b00011110,AOI22_X1,0b1110111011100000,OK,3,1,4,,0.76
3input0xE_X1,0b00011110,OAI22_X1,0b1111100010001000,OK,4,1,5,,1.07
3input0xE_X1,0b00011110,OAI211_X1,0b1111111011101110,OK,4,1,5,,1.31
3input0xF_X1,0b00011111,AND3_X1,0b00000001,OK,2,4,6,,0.81
3input0xF_X1,0b00011111,OR3_X1,0b01111111,OK,2,4,6,,1.38
3input0xF_X1,0b00011111,AOI21_X1,0b10101000,OK,1,1,2,,0.09
3input0xF_X1,0b00011111,OAI21_X1,0b11101010,OK,3,0,3,,0.22
3input0xF_X1,0b00011111,NAND3_X1,0b11111110,OK,4,0,4,,0.46
3input0xF_X1,0b00011111,AOI211_X1,0b1000100010000000,OK,3,1,4,,0.44
