canonical_A,canonical_B,overlap_ratio
0b1010100010101010,0b00001000,0.111111
0b1010100010101010,0b1111111011111111,0.055556
0b1010100010101010,0b00000001,0.055556
0b0000000000001110,0b11101111,0.062500
0b0000000000001110,0b00000001,0.437500
0b0000000000001110,0b1111111111111110,0.187500
0b0000000000001110,0b1110111111111111,0.125000
0b0000000000001110,0b10101011,0.062500
0b1000001000101000,0b1110101011000000,1.000000
0b1000000010101010,0b1110111111111111,0.846154
0b1000000010101010,0b0000000000000010,0.076923
0b1000000010101010,0b1111111011111111,0.076923
0b1010101010101000,0b00000010,0.076923
0b1010101010101000,0b0000000000000010,0.461538
0b1010101010101000,0b1110111111111111,0.461538
0b1010101111111111,0b1110111111111111,0.153846
0b1010101111111111,0b11101111,0.307692
0b1010101111111111,0b0000000000000010,0.076923
0b1010101111111111,0b0000101011001010,0.076923
0b0000000111111111,0b0000000000000010,0.333333
0b0000000111111111,0b1110111111111111,0.500000
0b0000000111111111,0b0010,0.083333
0b0000000111111111,0b00000010,0.083333
0b0000001010101010,0b1110111111111111,1.000000
0b0000000111111110,0b1110111111111111,0.090909
0b0000000111111110,0b1001,0.272727
0b0000000111111110,0b01101001,0.545455
0b0000000111111110,0b00000010,0.090909
0b1010100010001000,0b1110111111111111,1.000000
0b00101111,0b1110111111111111,0.181818
0b00101111,0b0000000000000010,0.181818
0b00101111,0b1110101011000000,0.545455
0b00101111,0b1110111011101010,0.090909
0b00101111,0b1110101011101110,0.090909
0b11111110,0b0000000000000010,0.363636
0b11111110,0b1110111111111111,0.454545
0b1010101011101010,0b11101111,0.100000
0b1010101011101010,0b1110111111111111,0.300000
0b1010101011101010,0b0000000000000010,0.500000
0b1010101011101010,0b00000001,0.100000
0b0000000000001011,0b1111111111111110,0.111111
0b0000001101010111,0b11101111,0.111111
0b0000001101010111,0b0000000010101000,0.111111
0b10101000,0b1110111111111111,0.777778
0b10101000,0b00001000,0.111111
0b0000100010101010,0b1110111111111111,1.000000
0b1110111011100000,0b1110111111111111,0.125000
0b1110111011100000,0b00001110,0.125000
0b1110111011100000,0b0000011111111111,0.125000
0b0001,0b0000000000000010,0.125000
0b0001,0b00001000,0.125000
0b0001,0b0010,0.125000
0b0001,0b1110111111111111,0.250000
0b00101000,0b1110101011000000,1.000000
0b00101010,0b1110111111111111,0.857143
0b00101010,0b00000001,0.142857
0b10101100,0b1110101011000000,1.000000
0b0000011011111111,0b1110101011000000,1.000000
0b1010101010101110,0b11101111,0.500000
0b1010101010101110,0b1110111111111111,0.333333
0b1010101010101110,0b0000001011111111,0.166667
0b11101010,0b0000001011111111,0.166667
0b1000100010001010,0b1110111111111111,0.800000
0b1000100010001010,0b0000000000000010,0.200000
0b1001100111110000,0b1110101011000000,1.000000
0b1111111011101110,0b1110111111111111,0.800000
0b00001011,0b1110111111111111,0.200000
0b00001011,0b1011,0.400000
0b00001011,0b1111111111111110,0.400000
0b1000101110111000,0b1110101011000000,1.000000
0b1000100010000000,0b1110111111111111,0.333333
0b1000100010000000,0b0010,0.333333
0b1000100010000000,0b1111111011111111,0.333333
0b0000000000011111,0b1110111111111111,1.000000
0b0000000010101011,0b1110111111111111,0.500000
0b0000000010101011,0b0000000000000010,0.500000
0b0000000011111110,0b1110111111111111,0.500000
0b0000000011111110,0b0000000000000010,0.500000
0b0000011111111111,0b1110111011100000,0.500000
0b0000111011101110,0b1110111111111111,0.500000
0b0000111011101110,0b0000000010101000,0.500000
0b0010101011111111,0b1110111111111111,0.500000
0b0010101011111111,0b0000000000000010,0.500000
0b1000100011111000,0b1110101011000000,1.000000
0b0111,0b0000000000000010,1.000000
0b10101011,0b1110111111111111,0.500000
0b10101011,0b0000000000001110,0.500000
0b10101110,0b11101111,0.500000
0b0000000010001010,0b1111111111111110,1.000000
0b0000000011101010,0b0000000010001111,1.000000
0b0000100010001000,0b1110111111111111,1.000000
0b0000101011001010,0b1010101111111111,1.000000
0b0000101110111011,0b1110111111111111,1.000000
0b0001111011110000,0b1110101011000000,1.000000
0b0001111111111111,0b0000000000000010,1.000000
0b0010100010000010,0b1110101011000000,1.000000
0b1010101010111111,0b1110111011101111,1.000000
0b1010111011101110,0b11101111,1.000000
0b1010111011111111,0b11101111,1.000000
0b1110101011101110,0b00101111,1.000000
0b1110101011111111,0b1110111111111111,1.000000
0b1110111011101010,0b00101111,1.000000
0b1110111011111110,0b1111111111111110,1.000000
0b00011110,0b1011,1.000000
0b00101101,0b1011,1.000000
0b10001010,0b1110111111111111,1.000000
