canonical,master_cell,cluster_presence,avg_instances
0b1010101010101011,AND2_X1,0.157895,0.157895
0b1010101010101011,3input0x36_X1,0.157895,0.157895
0b0000000010001111,AND2_X1,0.944444,0.944444
0b0000000010001111,3input0x2C_X1,0.944444,0.944444
0b0000000010001111,3input0x36_X1,0.055556,0.055556
0b0000000010001111,INV_X1,0.055556,0.055556
0b0000000010001111,AOI21_X2,0.055556,0.055556
0b1010100010101010,AOI21_X1,0.111111,0.111111
0b1010100010101010,NOR2_X1,0.166667,0.222222
0b1010100010101010,INV_X1,0.111111,0.111111
0b1010100010101010,AND2_X1,0.777778,0.777778
0b1010100010101010,3input0x29_X1,0.777778,0.777778
0b1010100010101010,3input0x2C_X1,0.055556,0.055556
0b1010100010101010,NAND2_X1,0.111111,0.111111
0b1010100010101010,INV_X2,0.055556,0.055556
0b0000000000001110,AND2_X1,0.562500,0.937500
0b0000000000001110,NAND2_X1,0.875000,0.875000
0b0000000000001110,NAND3_X1,0.250000,0.250000
0b0000000000001110,INV_X2,0.062500,0.062500
0b0000000000001110,INV_X1,0.312500,0.312500
0b0000000000001110,AOI21_X1,0.250000,0.250000
0b0000000000001110,NOR2_X1,0.062500,0.062500
0b0000000000001110,AOI21_X2,0.062500,0.062500
0b1000001000101000,NOR2_X1,1.000000,1.000000
0b1000001000101000,XNOR2_X1,1.000000,2.000000
0b1000000010101010,3input0x29_X1,0.923077,0.923077
0b1000000010101010,OR2_X1,1.000000,1.000000
0b1000000010101010,INV_X1,0.076923,0.076923
0b1000000010101010,AOI21_X2,0.076923,0.076923
0b1010101010101000,AOI21_X1,0.769231,0.769231
0b1010101010101000,AND2_X1,0.923077,0.923077
0b1010101010101000,3input0x29_X1,0.076923,0.076923
0b1010101010101000,NAND2_X1,0.076923,0.076923
0b1010101010101000,AOI21_X2,0.153846,0.153846
0b1010101111111111,NAND2_X1,0.846154,0.846154
0b1010101111111111,AOI21_X1,0.692308,0.692308
0b1010101111111111,OR2_X1,0.153846,0.153846
0b1010101111111111,3input0x36_X1,0.153846,0.153846
0b1010101111111111,NAND3_X1,0.153846,0.153846
0b1010101111111111,INV_X1,0.153846,0.153846
0b0000000111111111,3input0xF_X1,0.916667,0.916667
0b0000000111111111,AND2_X1,0.916667,0.916667
0b0000000111111111,NAND2_X1,0.083333,0.083333
0b0000000111111111,NAND3_X1,0.083333,0.083333
0b0000000111111111,INV_X1,0.083333,0.083333
0b0000001010101010,NAND2_X1,0.083333,0.083333
0b0000001010101010,3input0x29_X1,0.083333,0.083333
0b0000001010101010,NOR2_X1,0.916667,0.916667
0b0000001010101010,AOI21_X1,0.916667,0.916667
0b0000000111111110,NAND3_X1,0.545455,0.545455
0b0000000111111110,XNOR2_X1,0.727273,0.727273
0b0000000111111110,XOR2_X1,0.272727,0.272727
0b0000000111111110,INV_X1,0.272727,0.272727
0b0000000111111110,NAND3_X2,0.454545,0.454545
0b1010100010001000,OR2_X1,0.909091,0.909091
0b1010100010001000,AOI21_X2,0.363636,0.363636
0b1010100010001000,AOI21_X1,0.545455,0.545455
0b1010100010001000,3input0x29_X1,0.090909,0.090909
0b1010100010001000,NOR2_X1,0.090909,0.090909
0b00101111,INV_X1,1.000000,1.000000
0b00101111,3input0xF_X1,0.272727,0.272727
0b00101111,3input0x2C_X1,0.727273,0.727273
0b11111110,AND2_X1,0.909091,0.909091
0b11111110,NAND2_X1,1.000000,1.090909
0b11111110,INV_X1,0.090909,0.090909
0b1010101011101010,INV_X2,0.100000,0.100000
0b1010101011101010,NAND3_X2,0.100000,0.100000
0b1010101011101010,INV_X1,0.100000,0.100000
0b1010101011101010,NAND2_X1,0.100000,0.100000
0b1010101011101010,3input0x36_X1,0.900000,0.900000
0b1010101011101010,NOR2_X1,0.900000,0.900000
0b0000000000001011,3input0x29_X1,1.000000,1.000000
0b0000000000001011,NAND2_X1,0.888889,0.888889
0b0000000000001011,AND2_X1,0.111111,0.111111
0b0000000000001011,INV_X1,0.111111,0.111111
0b0000001101010111,NAND2_X1,1.000000,1.000000
0b0000001101010111,3input0x36_X1,1.000000,1.000000
0b10101000,NOR2_X1,1.000000,1.000000
0b10101000,AND2_X1,1.000000,1.000000
0b0000100010101010,3input0x29_X1,1.000000,1.000000
0b0000100010101010,NOR2_X1,1.000000,1.000000
0b1110111011100000,AND2_X1,1.000000,1.000000
0b1110111011100000,AOI21_X1,0.750000,0.750000
0b1110111011100000,AOI21_X2,0.125000,0.125000
0b1110111011100000,NAND2_X1,0.125000,0.250000
0b0001,INV_X2,0.250000,0.250000
0b0001,NAND2_X1,1.000000,1.000000
0b0001,INV_X1,0.500000,0.500000
0b0001,INV_X4,0.250000,0.250000
0b00101000,NOR2_X1,1.000000,1.000000
0b00101000,XNOR2_X1,1.000000,1.000000
0b00101010,NOR2_X1,0.285714,0.571429
0b00101010,3input0x2C_X1,0.142857,0.142857
0b00101010,INV_X2,0.142857,0.142857
0b00101010,3input0x29_X1,0.571429,0.571429
0b00101010,INV_X1,0.571429,0.571429
0b10101100,3input0x2C_X1,1.000000,1.000000
0b10101100,NOR2_X1,1.000000,1.000000
0b10101100,INV_X1,1.000000,1.000000
0b0000011011111111,INV_X1,1.000000,1.000000
0b0000011011111111,XNOR2_X1,1.000000,1.000000
